Coste,Método,Equity final,Retorno total,CAGR,Vol anual,Sharpe,MaxDD,Turnover total,Turnover medio,Coste total
0 bps,1/N,2.497,149.7%,9.46%,10.84%,0.888,-22.18%,0.0,0.0,0.0%
0 bps,Markowitz CAP10,2.381,138.07%,8.94%,10.13%,0.896,-21.62%,9.577,0.092,0.0%
0 bps,Mediana+MAD CAP10,2.596,159.62%,9.88%,10.71%,0.933,-21.03%,19.161,0.174,0.0%
5 bps,1/N,2.497,149.7%,9.46%,10.84%,0.888,-22.18%,0.0,0.0,0.0%
5 bps,Markowitz CAP10,2.369,136.93%,8.89%,10.13%,0.891,-21.65%,9.577,0.092,0.48%
5 bps,Mediana+MAD CAP10,2.571,157.14%,9.77%,10.71%,0.924,-21.1%,19.161,0.174,0.96%
10 bps,1/N,2.497,149.7%,9.46%,10.84%,0.888,-22.18%,0.0,0.0,0.0%
10 bps,Markowitz CAP10,2.358,135.8%,8.84%,10.13%,0.887,-21.69%,9.577,0.092,0.96%
10 bps,Mediana+MAD CAP10,2.547,154.69%,9.67%,10.71%,0.915,-21.18%,19.161,0.174,1.92%
20 bps,1/N,2.497,149.7%,9.46%,10.84%,0.888,-22.18%,0.0,0.0,0.0%
20 bps,Markowitz CAP10,2.336,133.55%,8.74%,10.13%,0.877,-21.76%,9.577,0.092,1.92%
20 bps,Mediana+MAD CAP10,2.499,149.86%,9.46%,10.71%,0.898,-21.32%,19.161,0.174,3.83%
50 bps,1/N,2.497,149.7%,9.46%,10.84%,0.888,-22.18%,0.0,0.0,0.0%
50 bps,Markowitz CAP10,2.269,126.94%,8.43%,10.14%,0.849,-21.96%,9.577,0.092,4.79%
50 bps,Mediana+MAD CAP10,2.359,135.9%,8.84%,10.72%,0.845,-21.76%,19.161,0.174,9.58%
